element_id,element_type,entity_id,entity_type
c07-p03,paragraph,Servants,character
c07-p03,paragraph,WMusgrove,character
c07-p04,paragraph,MRobinson,character
c07-p04,paragraph,CMusgroveL,character
c07-p04,paragraph,CMusgrove,character
c07-p04,paragraph,CWentworth,character
c07-p04,paragraph,AElliot,character
c07-p04,paragraph,HMusgrove,character
c07-p04,paragraph,SWElliot,character
c07-p04,paragraph,LMusgrove,character
c07-p04,paragraph,CMusgroveE,character
c07-p04,paragraph,MMusgroveE,character
c07-p04,paragraph,MMusgrove,character
c07-p05,paragraph,HMusgrove,character
c07-p05,paragraph,LMusgrove,character
c07-p05,paragraph,CMusgroveE,character
c07-p05,paragraph,CWentworth,character
c07-p05,paragraph,CMusgroveL,character
c07-p05,paragraph,CMusgrove,character
c07-p05,paragraph,MMusgrove,character
c07-p05,paragraph,AElliot,character
c07-p06,paragraph,CMusgrove,character
c07-p06,paragraph,CMusgroveL,character
c07-p06,paragraph,CWentworth,character
c07-p06,paragraph,MMusgrove,character
c07-p07,paragraph,CMusgroveL,character
c07-p07,paragraph,MRobinson,character
c07-p07,paragraph,CMusgrove,character
c07-p07,paragraph,CMusgroveE,character
c07-p07,paragraph,CWentworth,character
c07-p08,paragraph,CMusgroveL,character
c07-p08,paragraph,CMusgrove,character
c07-p08,paragraph,CMusgroveE,character
c07-p08,paragraph,MMusgrove,character
c07-p08,paragraph,AElliot,character
c07-p09,paragraph,MMusgrove,character
c07-p09,paragraph,CMusgrove,character
c07-p09,paragraph,AElliot,character
c07-p10,paragraph,MMusgrove,character
c07-p10,paragraph,AElliot,character
c07-p10,paragraph,CMusgroveL,character
c07-p10,paragraph,CMusgrove,character
c07-p11,paragraph,AElliot,character
c07-p11,paragraph,MMusgrove,character
c07-p11,paragraph,MRobinson,character
c07-p11,paragraph,CMusgrove,character
c07-p12,paragraph,MMusgrove,character
c07-p12,paragraph,CMusgroveL,character
c07-p12,paragraph,CMusgrove,character
c07-p12,paragraph,AElliot,character
c07-p13,paragraph,AElliot,character
c07-p13,paragraph,MMusgrove,character
c07-p13,paragraph,CMusgroveL,character
c07-p14,paragraph,MMusgrove,character
c07-p14,paragraph,AElliot,character
c07-p14,paragraph,CMusgrove,character
c07-p14,paragraph,Jemima,character
c07-p14,paragraph,CMusgroveL,character
c07-p14,paragraph,CMusgroveE,character
c07-p15,paragraph,AElliot,character
c07-p15,paragraph,MMusgrove,character
c07-p15,paragraph,CMusgrove,character
c07-p15,paragraph,CMusgroveL,character
c07-p15,paragraph,CMusgroveE,character
c07-p15,paragraph,MMusgroveE,character
c07-p16,paragraph,MMusgrove,character
c07-p16,paragraph,AElliot,character
c07-p16,paragraph,CMusgroveL,character
c07-p16,paragraph,Jemima,character
c07-p16,paragraph,CMusgrove,character
c07-p16,paragraph,CWentworth,character
c07-p17,paragraph,MMusgrove,character
c07-p17,paragraph,CMusgrove,character
c07-p17,paragraph,AElliot,character
c07-p18,paragraph,MMusgrove,character
c07-p18,paragraph,CMusgrove,character
c07-p18,paragraph,CMusgroveL,character
c07-p18,paragraph,AElliot,character
c07-p19,paragraph,CMusgrove,character
c07-p19,paragraph,AElliot,character
c07-p19,paragraph,MMusgrove,character
c07-p19,paragraph,CMusgroveL,character
c07-p20,paragraph,AElliot,character
c07-p20,paragraph,CMusgrove,character
c07-p20,paragraph,CMusgroveL,character
c07-p20,paragraph,MMusgrove,character
c07-p20,paragraph,CWentworth,character
c07-p21,paragraph,AElliot,character
c07-p21,paragraph,CWentworth,character
c07-p22,paragraph,AElliot,character
c07-p22,paragraph,CMusgrove,character
c07-p22,paragraph,MMusgrove,character
c07-p22,paragraph,CWentworth,character
c07-p22,paragraph,CMusgroveL,character
c07-p22,paragraph,CMusgroveE,character
c07-p23,paragraph,AElliot,character
c07-p23,paragraph,CWentworth,character
c07-p24,paragraph,MMusgrove,character
c07-p24,paragraph,AElliot,character
c07-p24,paragraph,CMusgrove,character
c07-p24,paragraph,CWentworth,character
c07-p24,paragraph,HMusgrove,character
c07-p24,paragraph,LMusgrove,character
c07-p24,paragraph,CMusgroveL,character
c07-p25,paragraph,MMusgrove,character
c07-p25,paragraph,CWentworth,character
c07-p25,paragraph,AElliot,character
c07-p25,paragraph,CMusgrove,character
c07-p25,paragraph,HMusgrove,character
c07-p25,paragraph,LMusgrove,character
c07-p26,paragraph,AElliot,character
c07-p27,paragraph,MMusgrove,character
c07-p27,paragraph,CWentworth,character
c07-p28,paragraph,AElliot,character
c07-p29,paragraph,AElliot,character
c07-p30,paragraph,CWentworth,character
c07-p30,paragraph,AElliot,character
c07-p31,paragraph,AElliot,character
c07-p31,paragraph,HMusgrove,character
c07-p31,paragraph,LMusgrove,character
c07-p31,paragraph,MMusgrove,character
c07-p32,paragraph,MMusgrove,character
c07-p32,paragraph,CWentworth,character
c07-p32,paragraph,AElliot,character
c07-p32,paragraph,HMusgrove,character
c07-p33,paragraph,MMusgrove,character
c07-p33,paragraph,AElliot,character
c07-p34,paragraph,AElliot,character
c07-p34,paragraph,CWentworth,character
c07-p34,paragraph,MMusgrove,character
c07-p35,paragraph,CWentworth,character
c07-p35,paragraph,AElliot,character
c07-p36,paragraph,CWentworth,character
c07-p36,paragraph,AElliot,character
c07-p37,paragraph,CWentworth,character
c07-p37,paragraph,AElliot,character
c07-p38,paragraph,CWentworth,character
c07-p38,paragraph,HMusgrove,character
c07-p38,paragraph,LMusgrove,character
c07-p38,paragraph,AElliot,character
c07-p38,paragraph,SCroft,character
c07-p39,paragraph,SCroft,character
c07-p39,paragraph,CWentworth,character
c07-p40,paragraph,CWentworth,character
c07-p40,paragraph,SCroft,character
c07-p40,paragraph,AElliot,character
c07-p41,paragraph,AElliot,character
c07-p41,paragraph,CWentworth,character
c08-p01,paragraph,CWentworth,character
c08-p01,paragraph,AElliot,character
c08-p02,paragraph,CWentworth,character
c08-p02,paragraph,AElliot,character
c08-p03,paragraph,AElliot,character
c08-p03,paragraph,CWentworth,character
c08-p03,paragraph,ACroft,character
c08-p03,paragraph,MCroft,character
c08-p04,paragraph,AElliot,character
c08-p04,paragraph,CWentworth,character
c08-p04,paragraph,HMusgrove,character
c08-p04,paragraph,LMusgrove,character
c08-p05,paragraph,AElliot,character
c08-p05,paragraph,MMusgroveE,character
c08-p06,paragraph,MMusgroveE,character
c08-p06,paragraph,AElliot,character
c08-p06,paragraph,RMusgrove,character
c08-p07,paragraph,AElliot,character
c08-p07,paragraph,MMusgroveE,character
c08-p07,paragraph,HMusgrove,character
c08-p07,paragraph,LMusgrove,character
c08-p07,paragraph,CWentworth,character
c08-p08,paragraph,HMusgrove,character
c08-p08,paragraph,LMusgrove,character
c08-p08,paragraph,CWentworth,character
c08-p09,paragraph,CWentworth,character
c08-p09,paragraph,LMusgrove,character
c08-p09,paragraph,HMusgrove,character
c08-p10,paragraph,LMusgrove,character
c08-p10,paragraph,HMusgrove,character
c08-p11,paragraph,CWentworth,character
c08-p12,paragraph,ACroft,character
c08-p12,paragraph,CWentworth,character
c08-p13,paragraph,CWentworth,character
c08-p13,paragraph,ACroft,character
c08-p14,paragraph,CWentworth,character
c08-p14,paragraph,ACroft,character
c08-p15,paragraph,CWentworth,character
c08-p15,paragraph,LMusgrove,character
c08-p16,paragraph,CWentworth,character
c08-p17,paragraph,AElliot,character
c08-p17,paragraph,LMusgrove,character
c08-p17,paragraph,HMusgrove,character
c08-p18,paragraph,MMusgroveE,character
c08-p18,paragraph,CMusgrove,character
c08-p18,paragraph,RMusgrove,character
c08-p18,paragraph,CWentworth,character
c08-p19,paragraph,CMusgrove,character
c08-p19,paragraph,MMusgroveE,character
c08-p19,paragraph,RMusgrove,character
c08-p19,paragraph,CWentworth,character
c08-p20,paragraph,MMusgroveE,character
c08-p20,paragraph,CMusgrove,character
c08-p20,paragraph,RMusgrove,character
c08-p20,paragraph,CWentworth,character
c08-p21,paragraph,CMusgrove,character
c08-p22,paragraph,LMusgrove,character
c08-p22,paragraph,HMusgrove,character
c08-p22,paragraph,CWentworth,character
c08-p23,paragraph,CWentworth,character
c08-p24,paragraph,MMusgroveE,character
c08-p24,paragraph,CWentworth,character
c08-p25,paragraph,MMusgroveE,character
c08-p25,paragraph,CWentworth,character
c08-p25,paragraph,RMusgrove,character
c08-p26,paragraph,RMusgrove,character
c08-p26,paragraph,MMusgroveE,character
c08-p26,paragraph,LMusgrove,character
c08-p27,paragraph,MMusgroveE,character
c08-p27,paragraph,CWentworth,character
c08-p27,paragraph,RMusgrove,character
c08-p28,paragraph,CWentworth,character
c08-p28,paragraph,AElliot,character
c08-p28,paragraph,MMusgroveE,character
c08-p28,paragraph,RMusgrove,character
c08-p29,paragraph,CWentworth,character
c08-p29,paragraph,AElliot,character
c08-p29,paragraph,MMusgroveE,character
c08-p29,paragraph,RMusgrove,character
c08-p31,paragraph,ACroft,character
c08-p31,paragraph,MCroft,character
c08-p31,paragraph,CWentworth,character
c08-p32,paragraph,ACroft,character
c08-p32,paragraph,CWentworth,character
c08-p32,paragraph,LGrierson,character
c08-p32,paragraph,DGrierson,character
c08-p33,paragraph,CWentworth,character
c08-p34,paragraph,ACroft,character
c08-p34,paragraph,CWentworth,character
c08-p35,paragraph,CWentworth,character
c08-p35,paragraph,ACroft,character
c08-p36,paragraph,MCroft,character
c08-p36,paragraph,CWentworth,character
c08-p37,paragraph,AElliot,character
c08-p37,paragraph,MCroft,character
c08-p37,paragraph,CWentworth,character
c08-p38,paragraph,CWentworth,character
c08-p38,paragraph,MCroft,character
c08-p38,paragraph,ACroft,character
c08-p39,paragraph,HarvilleCou,character
c08-p39,paragraph,MHarville,character
c08-p39,paragraph,FHarville,character
c08-p39,paragraph,HarvilleCh,character
c08-p39,paragraph,CWentworth,character
c08-p39,paragraph,MCroft,character
c08-p40,paragraph,CWentworth,character
c08-p40,paragraph,CHarville,character
c08-p40,paragraph,MHarville,character
c08-p40,paragraph,SCroft,character
c08-p40,paragraph,CWentworth,character
c08-p41,paragraph,MCroft,character
c08-p41,paragraph,MHarville,character
c08-p41,paragraph,HarvilleCH,character
c08-p41,paragraph,HarvilleCou,character
c08-p41,paragraph,FHarville,character
c08-p42,paragraph,CWentworth,character
c08-p42,paragraph,MHarville,character
c08-p42,paragraph,HarvilleCh,character
c08-p42,paragraph,HarvilleCou,character
c08-p42,paragraph,FHarville,character
c08-p43,paragraph,CWentworth,character
c08-p43,paragraph,MCroft,character
c08-p44,paragraph,CWentworth,character
c08-p44,paragraph,MCroft,character
c08-p44,paragraph,MHarville,character
c08-p44,paragraph,FHarville,character
c08-p44,paragraph,HarvilleCou,character
c08-p44,paragraph,HarvilleCh,character
c08-p45,paragraph,CWentworth,character
c08-p45,paragraph,MCroft,character
c08-p46,paragraph,ACroft,character
c08-p46,paragraph,MCroft,character
c08-p46,paragraph,CWentworth,character
c08-p47,paragraph,MCroft,character
c08-p48,paragraph,CWentworth,character
c08-p49,paragraph,CWentworth,character
c08-p50,paragraph,MCroft,character
c08-p50,paragraph,MMusgroveE,character
c08-p51,paragraph,MCroft,character
c08-p51,paragraph,MMusgroveE,character
c08-p52,paragraph,MMusgroveE,character
c08-p53,paragraph,MCroft,character
c08-p53,paragraph,MMusgroveE,character
c08-p53,paragraph,ACroft,character
c08-p54,paragraph,MMusgroveE,character
c08-p54,paragraph,MCroft,character
c08-p54,paragraph,CMusgroveE,character
c08-p55,paragraph,AElliot,character
c08-p56,paragraph,CWentworth,character
c08-p56,paragraph,AElliot,character
c08-p56,paragraph,HMusgrove,character
c08-p56,paragraph,LMusgrove,character
c08-p56,paragraph,MissHayter,character
c08-p57,paragraph,AElliot,character
c08-p57,paragraph,CWentworth,character
c08-p57,paragraph,LMusgrove,character
c08-p57,paragraph,HMusgrove,character
c08-p58,paragraph,CWentworth,character
c08-p58,paragraph,AElliot,character
c08-p59,paragraph,CWentworth,character
c08-p59,paragraph,AElliot,character
c09-p01,paragraph,CWentworth,character
c09-p01,paragraph,ACroft,character
c09-p01,paragraph,MCroft,character
c09-p02,paragraph,CMusgroveE,character
c09-p02,paragraph,MMusgroveE,character
c09-p02,paragraph,ACroft,character
c09-p02,paragraph,MCroft,character
c09-p03,paragraph,CWentworth,character
c09-p03,paragraph,CMusgroveE,character
c09-p03,paragraph,MMusgroveE,character
c09-p03,paragraph,CHayter,character
c09-p04,paragraph,CHayter,character
c09-p04,paragraph,CWentworth,character
c09-p04,paragraph,HMusgrove,character
c09-p05,paragraph,MMusgroveE,character
c09-p05,paragraph,MHayterE,character
c09-p05,paragraph,MrHayterE,character
c09-p06,paragraph,CHayter,character
c09-p06,paragraph,HMusgrove,character
c09-p06,paragraph,LMusgrove,character
c09-p07,paragraph,HMusgrove,character
c09-p07,paragraph,CHayter,character
c09-p07,paragraph,CWentworth,character
c09-p08,paragraph,LMusgrove,character
c09-p08,paragraph,HMusgrove,character
c09-p08,paragraph,AElliot,character
c09-p08,paragraph,CWentworth,character
c09-p09,paragraph,MMusgroveE,character
c09-p09,paragraph,CMusgroveE,character
c09-p09,paragraph,CWentworth,character
c09-p09,paragraph,LMusgrove,character
c09-p09,paragraph,HMusgrove,character
c09-p09,paragraph,CHayter,character
c09-p09,paragraph,AElliot,character
c09-p10,paragraph,CWentworth,character
c09-p10,paragraph,CMusgrove,character
c09-p11,paragraph,MMusgrove,character
c09-p11,paragraph,CWentworth,character
c09-p11,paragraph,HMusgrove,character
